method,file,P,L,U,evidence
B1_jaccard,b1_jaccard.py,0,0,0,"set overlap/union only; no pairs, no learning"
B2_tfidf_cos,b2_tfidf.py,0,0,0,"order-1 unigram tf-idf cosine; IDF = corpus statistic, not learned"
B3_bm25,b3_bm25.py,0,0,0,BM25Okapi over unigram accord tokens; k1/b fixed; no pairs
B4_sbert,b4_sbert.py,0,0,0,pretrained sentence encoder over accord string; no params learned from OUR data/labels
B5_word2vec,b5_word2vec.py,1,0,1,"skip-gram (sg=1) trained on accord lists as sentences, window=5>=len(A(p))~5 => learns accord co-occurrence"
B6_node2vec,b6_node2vec.py,1,0,1,explicit accord co-occurrence graph + random walks + skip-gram embeddings
A1_wheel_treeW,a1_wheel.py,0,0,0,"tree-W1 over uniform unigram distribution on fixed taxonomy; no pair stats, no learning"
A2_ppmi_svd,a2_ppmi_svd.py,1,0,1,explicit accord-accord co-occurrence matrix -> PPMI -> TruncatedSVD embeddings
A3_signature,a3_signature.py,1,1,0,features n_shared_b/w_shared_b/max_rare = shared bigrams; logistic on labels OOF
A4_bigram_salience,a4_bigram_salience.py,1,1,0,shared-bigram indicator over full bigram vocab; L2 logistic on labels OOF
A5_bilinear,a5_bilinear.py,1,1,0,"score q^T(diag(d)+L L^T)p; L L^T = cross-accord; d,L learned from labels OOF"
A6_gbm_fusion,a6_gbm.py,1,1,0,features include bigram_cos (order-2); GBM trained on labels OOF
P1_order2,p1_order2.py,1,0,0,"unigram+bigram (order-N) tf-idf cosine; IDF fixed statistic; N = hyperparam via nested CV, no gradient learning"
P2_fusion,p2_fusion.py,1,1,0,"features [bigram_cos,unigram_cos,shared]; logistic on labels OOF"
P3_hubidf,p3_hubidf.py,1,0,0,order-2 tf-idf with hub down-weight (corpus degree statistic); no label learning
