product_name,meaning,visual_note,visual_note_alt,olfactory_family
Berrylicious,Aroma Cacao Creamy Dan Incense Yang Lembut,Amber / Cacao,Cacao / Amber,AMBER
Verve Vale,Perpaduan Aroma Hangat Jahe Dan Segar Bergamot,Amber / Ginger,Ginger / Amber,AMBER
Secret of Bandit,Perpaduan Aroma Lembut Incens Dan Leather,Amber / Incense,Incense / Leather,AMBER
Spicy Day,Aroma Hangat Jahe Berpadu Dengan Segar Bergamot,Amber / Marigold,Marigold / Cinnamon / Incense,AMBER
Fancy Dress,Aroma Kemewahan Bunga Pengantin,Amber / Neroli,Nerolli / Iris / Myrrh,AMBER
Moz Art,Aroma Creamy Manis Rempah,Amber / Pepper,Amber / Pepper,AMBER
Superclass Woman,Perpaduan Segar Manis Buah Berry Dan Madu Yang Lembut,Amber / Rasberry,Raspberry / Nerolli,AMBER
Black Lax,Aroma Kayu Oud Yang Mewah Dipadukan Dengan Sensasi Kesegaran Vanilla Dan Kayu Manis,Amber / Rosewood,Rosewood / Amber,AMBER
Red Glass,Kemewahan Aroma Saffron,Amber / Saffron,Saffron / Woody,AMBER
Classic Vintage,tetesan getah pinus,Amber / Tonka bean,amber / musk,AMBER
Aquazone,aroma spicy rempah dipadukan dengan kesegaran aquatic,Aquatic / Bergamot,Aquatic / Citrus,AQUATIC
Solstice,kesegaran aroma pepper mint,Aquatic / Blood orange,blood orange / ozonic,AQUATIC
Our First Love,aroma kayu hujau yang segar,Aquatic / Cedar,Cedar / Pear Leaf,AQUATIC
Pentavenue,Perpaduan Aroma Kesegaran Aldehydes dan Coriander,Aquatic / Corriander,Corriander / Aldehydes,AQUATIC
Black Ball,Kesegaran aroma perpaduan rempah,Aquatic / Grapefruit,water / citrus,AQUATIC
Patchouli Petals,Aroma bunga iris yang manis dan sedikit salty,Aquatic / Iris,Iris / Amber / Aquatic,AQUATIC
Bosi Bottle,Perpaduan Kesegaran Aroma Aquatic dan Kelembutan Aroma Lavender,Aquatic / Lavender,Lavender/Aquatic,AQUATIC
Fuck Boy,Sensasi khas Jeruk Mandarin,Aquatic / Mandarin Orange,mandarin orange / Fruity,AQUATIC
Colate Sport,kesegaran jeruk dipadukan dengan kehangatan dari amber,Aquatic / Orange,Orange / Sea Notes,AQUATIC
Vandora,Kelembapan taman bunga sehabis hujan,Aquatic / Pear,ylang-ylang / musk,AQUATIC
Cloud Grande,Perpaduan Aroma Rosewood dan Oud,Aquatic / Rosewood,Rosewood / Aquatic,AQUATIC
Whisper of Passion,aroma asin garam laut/udara laut yang asin dan menyegarkan,Aquatic / Sea Notes,Sea Salt / Sea Notes,AQUATIC
SCENT SQUAD,Perpaduan kapulaga dan mewah kulit,Aromatic / Cardamom,Cardamom / Leather,AROMATIC
SAFETY FIRST,aroma hutan yang menenangkan,Aromatic / Green,green / aromatic,AROMATIC
Reef 33 Perfumes,Sensasi Segar Bunga Saffron,Aromatic / Indian Saffron,Indian Saffron / Fresh Spicy,AROMATIC
CHARMING DECIVER,kombinasi aroma lavender kering dengan aroma animalic,Aromatic / Lavender,Lavender / Leather,AROMATIC
Golden Secret,Perpaduan Kelembutan Aroma Violet dan Spicy Pink Pepper,Aromatic / Pink Pepper,Violet / Pink Pepper,AROMATIC
Oran Cle,kesegaran bulir jeruk yang manis,Citrus / African Orange Flower,Citrus / Vanilla,CITRUS
Authentic Discovery,Segarnya lemonate,Citrus / Amalfi Lemon,lemon / Citrus,CITRUS
Turathi Blue Afnan,Sensasi Segar Aroma Amber,Citrus / Amber,Amber / Citrus,CITRUS
Spring Breeze,batang pohon tua lembab yang dibakar,Citrus / Ambergriss,melon / floral,CITRUS
Bright Cloud,Kesegaran jeruk nipis,Citrus / Bamboo,bergamot / Citrus,CITRUS
Barbie,Aroma Jeruk Nipis dengan kelembutan musky,Citrus / Bergamot,bergamot / musk,CITRUS
Jack Sparrow,Aroma khas buah juniper,Citrus / Beri Juniper,Beri Juniper / Citrus,CITRUS
Will You,Ketenangan tea dengan segarnya citrus,Citrus / Bitter Orange,White Floral/ Bitter Orange,CITRUS
Will Deep,Sensasi aroma bunga segar,Citrus / Blackcurrant,blood orange / Floral,CITRUS
Maxima Gold,pahit khas aroma jeruk,Citrus / Blood Orange,blood orange / citrus,CITRUS
deep water,Perpaduan aroma segar bergamot dan citron,Citrus / Citron,Citron / Bergamut,CITRUS
Rainforest,Aroma manis khas Grapefruit,Citrus / Grapefruit,Grapefruit / Aromatic,CITRUS
Blue Crocodile,aroma kayu dengan nuansa citrus yang segar,Citrus / Green Apple,Mandarin Orange / Cedar,CITRUS
Treasure to Love,Manisnya aroma Italian Lemon,Citrus / Italian Lemon,Italian Lemon / Citrus,CITRUS
Dreamland,Kesegaran bunga Magnolia,Citrus / Lavender,Lavender / Floral,CITRUS
Spell Out,sensasi segar kumpulan aroma citrus,Citrus / Mint,Mint/ Aromatic,CITRUS
Stardust,sensasi manis jeruk orange,Citrus / Orange,orange,CITRUS
Kenzoba,Perpaduan aroma segar citrus dan manis vanilla,Citrus / Orchid,Vanilla / Passionfruit,CITRUS
Autumn,ketajaman aroma citrus,Citrus / Patchouli,citrus / amber,CITRUS
The Scent Diva,sensasi manis citrus,Citrus / Peony,grapefruit / floral,CITRUS
Bad Boy,Kesegaran aroma bergamot,Citrus / Petitgrain,Aromatic / bergamot,CITRUS
Vicaro,Nanas Muda,Citrus / Pineapple,Citrus / Pineapple,CITRUS
Dusk musk,remasan bunga mawar,Citrus / Raspberry,raspberry / jasmine / bergamot,CITRUS
aqua fresh woman,Sensasi kesegaran air melati,Citrus / Water Jasmine,water jasmine / Citrus,CITRUS
Harry Up,Manisnya buah yuzu,Citrus / Yuzu,yuzu / Citrus,CITRUS
Last Season,aroma sabun buah pepaya,Floral / Aldehydes,Aldehydes / Vanilla,FLORAL
Glamorious,sensasi aroma mawar yang manis,Floral / Amber,Rose / Sweet,FLORAL
Cover Girl,sensasi khas aroma bunga peony,Floral / Bergamot,Peony / Vanilla,FLORAL
Lavish Lily,Kesegaran Aroma Cherry Yang Berpadu Dengan Aroma Bunga Peony Yang Lembut,Floral / Cherry,Cherry / Peony,FLORAL
Lovin Him,kesegaran aroma bunga freesia,Floral / Freesia,Freesia / Floral,FLORAL
Shout Man,aroma grapefruit ringan menyegarkan,Floral / Grapefruit,Grapefruit / Citrus,FLORAL
Blatherskite,keharuman segar dan manis buah kiwi,Floral / Kiwi,Kiwi / Fruity,FLORAL
My Crush,sentuhan lembut bunga freesia,Floral / Lily,Lily / Gardenia,FLORAL
Five Years,kesegaran khas bunga lime (linden blossom),Floral / Lime,Lime / Lily Of The Valley,FLORAL
D Nova,Setetes air hujan yang jatuh di kelopak bunga putih,Floral / Litchi,Rose / Litchi,FLORAL
How Deep,Kesegaran Aroma Bunga Magnolia Yang Manis,Floral / Magnolia,Floral / Magnolia,FLORAL
Sombrero,kelembutan lily dibalut kesegaran citrus,Floral / Mandarin Orange,Lily / Citrus,FLORAL
Woman In Love Never Cross,kesegaran buah lemon dibalut kelembutan bunga,Floral / Orange,Orange / Violet,FLORAL
Breezy Bouquet,semerbak aroma buket jasmine,Floral / Peach,litchi / jasmine,FLORAL
Bosa Nova,kelembutan buah pear dengan perpaduan bunga,Floral / Pear,Pear / Floral,FLORAL
